id,trace_id,service,station,level,category,message,metadata,created_at
1792,ruth-pws-klga-20260324-162150206,wendy,KLGA,debug,signal,"PWS anticipation: STRONG (score=0.735), METAR 39.9°F → estimated 34.9°F, bucket 40-41°F → 34-35°F","{""gap"": ""1.49"", ""conf"": ""1.00"", ""ramp"": ""-12.73"", ""score"": 0.7350000000000001, ""current"": ""40-41°F"", ""predicted"": ""34-35°F"", ""tEstimated"": ""1.62""}",2026-03-24 16:21:50.212791+00
1793,ruth-pws-klga-20260324-162150206,wendy,KLGA,info,signal,"PWS already anticipated 44-45°F, skipping duplicate buy",,2026-03-24 16:21:50.213124+00
1794,ruth-pws-kmia-20260324-162150380,wendy,KMIA,info,signal,"PWS anticipation: STRONG (score=1.000), METAR 79.0°F → estimated 84.6°F, bucket 78-79°F → 84-85°F","{""gap"": ""2.73"", ""conf"": ""1.00"", ""ramp"": ""4.12"", ""score"": 1, ""current"": ""78-79°F"", ""predicted"": ""84-85°F"", ""tEstimated"": ""29.25""}",2026-03-24 16:21:50.384793+00
1795,ruth-pws-kmia-20260324-162150380,wendy,KMIA,info,signal,"PWS already anticipated 82-83°F, skipping duplicate buy",,2026-03-24 16:21:50.385358+00
1796,ruth-pws-katl-20260324-162150533,wendy,KATL,info,signal,"PWS anticipation: STRONG (score=0.890), METAR 60.1°F → estimated 63.2°F, bucket 60-61°F → 62-63°F","{""gap"": ""1.29"", ""conf"": ""1.00"", ""ramp"": ""2.73"", ""score"": 0.8900000000000001, ""current"": ""60-61°F"", ""predicted"": ""62-63°F"", ""tEstimated"": ""17.32""}",2026-03-24 16:21:50.538433+00
1797,ruth-pws-katl-20260324-162150533,wendy,KATL,info,signal,"PWS already anticipated 64-65°F, skipping duplicate buy",,2026-03-24 16:21:50.538679+00
1798,ruth-pws-lfpg-20260324-162150987,wendy,LFPG,debug,signal,"PWS anticipation: WEAK (score=-0.250), METAR 18.0°C → estimated 17.1°C, bucket 18°C → 17°C","{""gap"": ""-1.11"", ""conf"": ""0.00"", ""ramp"": ""-3.06"", ""score"": -0.24999999999999992, ""current"": ""18°C"", ""predicted"": ""17°C"", ""tEstimated"": ""17.08""}",2026-03-24 16:21:50.990187+00
1799,ruth-pws-kdal-20260324-162249869,wendy,KDAL,info,signal,"PWS anticipation: STRONG (score=0.838), METAR 70.0°F → estimated 72.2°F, bucket 70-71°F → 72-73°F","{""gap"": ""1.62"", ""conf"": ""1.00"", ""ramp"": ""0.36"", ""score"": 0.8375931187165407, ""current"": ""70-71°F"", ""predicted"": ""72-73°F"", ""tEstimated"": ""22.34""}",2026-03-24 16:22:49.880242+00
1800,ruth-pws-kord-20260324-162250015,wendy,KORD,info,signal,"PWS anticipation: STRONG (score=0.873), METAR 39.9°F → estimated 43.2°F, bucket 40-41°F → 42-43°F","{""gap"": ""1.21"", ""conf"": ""1.00"", ""ramp"": ""2.91"", ""score"": 0.8725, ""current"": ""40-41°F"", ""predicted"": ""42-43°F"", ""tEstimated"": ""6.24""}",2026-03-24 16:22:50.019894+00
1801,ruth-pws-kord-20260324-162250015,wendy,KORD,info,guard,"PWS guards blocked: price_out_of_range | estimated 43.2°F, bucket 42-43°F, price 0.01",,2026-03-24 16:22:50.032163+00
1802,ruth-pws-klga-20260324-162250186,wendy,KLGA,debug,signal,"PWS anticipation: STRONG (score=0.735), METAR 39.9°F → estimated 35.8°F, bucket 40-41°F → 36-37°F","{""gap"": ""1.49"", ""conf"": ""1.00"", ""ramp"": ""-11.12"", ""score"": 0.7350000000000001, ""current"": ""40-41°F"", ""predicted"": ""36-37°F"", ""tEstimated"": ""2.11""}",2026-03-24 16:22:50.189896+00
1803,ruth-pws-klga-20260324-162250186,wendy,KLGA,info,signal,"PWS already anticipated 44-45°F, skipping duplicate buy",,2026-03-24 16:22:50.190449+00
1804,ruth-pws-kmia-20260324-162250340,wendy,KMIA,info,signal,"PWS anticipation: STRONG (score=1.000), METAR 79.0°F → estimated 84.2°F, bucket 78-79°F → 84-85°F","{""gap"": ""2.73"", ""conf"": ""1.00"", ""ramp"": ""3.27"", ""score"": 1, ""current"": ""78-79°F"", ""predicted"": ""84-85°F"", ""tEstimated"": ""29.00""}",2026-03-24 16:22:50.344701+00
1805,ruth-pws-kmia-20260324-162250340,wendy,KMIA,info,signal,"PWS already anticipated 82-83°F, skipping duplicate buy",,2026-03-24 16:22:50.344788+00
1806,ruth-pws-katl-20260324-162250476,wendy,KATL,info,signal,"PWS anticipation: STRONG (score=0.902), METAR 60.1°F → estimated 63.3°F, bucket 60-61°F → 62-63°F","{""gap"": ""1.34"", ""conf"": ""1.00"", ""ramp"": ""2.79"", ""score"": 0.9024999999999996, ""current"": ""60-61°F"", ""predicted"": ""62-63°F"", ""tEstimated"": ""17.38""}",2026-03-24 16:22:50.481202+00
1807,ruth-pws-katl-20260324-162250476,wendy,KATL,info,signal,"PWS already anticipated 64-65°F, skipping duplicate buy",,2026-03-24 16:22:50.481503+00
1808,ruth-pws-lfpg-20260324-162250806,wendy,LFPG,debug,signal,"PWS anticipation: WEAK (score=-0.250), METAR 18.0°C → estimated 17.1°C, bucket 18°C → 17°C","{""gap"": ""-1.11"", ""conf"": ""0.00"", ""ramp"": ""-2.91"", ""score"": -0.24999999999999992, ""current"": ""18°C"", ""predicted"": ""17°C"", ""tEstimated"": ""17.13""}",2026-03-24 16:22:50.809991+00
1809,ruth-pws-kord-20260324-162350112,wendy,KORD,info,signal,"PWS anticipation: STRONG (score=0.873), METAR 39.9°F → estimated 43.0°F, bucket 40-41°F → 42-43°F","{""gap"": ""1.21"", ""conf"": ""1.00"", ""ramp"": ""2.42"", ""score"": 0.8725, ""current"": ""40-41°F"", ""predicted"": ""42-43°F"", ""tEstimated"": ""6.10""}",2026-03-24 16:23:50.126921+00
1810,ruth-pws-kord-20260324-162350112,wendy,KORD,info,guard,"PWS guards blocked: price_out_of_range | estimated 43.0°F, bucket 42-43°F, price 0.01",,2026-03-24 16:23:50.128858+00
1811,ruth-pws-klga-20260324-162350278,wendy,KLGA,debug,signal,"PWS anticipation: STRONG (score=0.623), METAR 39.9°F → estimated 36.5°F, bucket 40-41°F → 36-37°F","{""gap"": ""0.99"", ""conf"": ""1.00"", ""ramp"": ""-8.71"", ""score"": 0.6225000000000003, ""current"": ""40-41°F"", ""predicted"": ""36-37°F"", ""tEstimated"": ""2.48""}",2026-03-24 16:23:50.282006+00
1812,ruth-pws-klga-20260324-162350278,wendy,KLGA,info,signal,"PWS already anticipated 44-45°F, skipping duplicate buy",,2026-03-24 16:23:50.282481+00
1813,ruth-pws-kmia-20260324-162350455,wendy,KMIA,info,signal,"PWS anticipation: STRONG (score=1.000), METAR 79.0°F → estimated 82.8°F, bucket 78-79°F → 82-83°F","{""gap"": ""2.73"", ""conf"": ""1.00"", ""ramp"": ""0.73"", ""score"": 1, ""current"": ""78-79°F"", ""predicted"": ""82-83°F"", ""tEstimated"": ""28.23""}",2026-03-24 16:23:50.459557+00
1814,ruth-pws-kmia-20260324-162350455,wendy,KMIA,info,signal,"PWS already anticipated 82-83°F, skipping duplicate buy",,2026-03-24 16:23:50.460024+00
1815,ruth-pws-katl-20260324-162350636,wendy,KATL,info,signal,"PWS anticipation: STRONG (score=0.890), METAR 60.1°F → estimated 62.7°F, bucket 60-61°F → 62-63°F","{""gap"": ""1.29"", ""conf"": ""1.00"", ""ramp"": ""1.90"", ""score"": 0.8900000000000001, ""current"": ""60-61°F"", ""predicted"": ""62-63°F"", ""tEstimated"": ""17.07""}",2026-03-24 16:23:50.639125+00
1816,ruth-pws-katl-20260324-162350636,wendy,KATL,info,signal,"PWS already anticipated 64-65°F, skipping duplicate buy",,2026-03-24 16:23:50.63966+00
1817,ruth-pws-lfpg-20260324-162351031,wendy,LFPG,debug,signal,"PWS anticipation: WEAK (score=-0.263), METAR 18.0°C → estimated 17.2°C, bucket 18°C → 17°C","{""gap"": ""-1.17"", ""conf"": ""0.00"", ""ramp"": ""-2.83"", ""score"": -0.2625000000000003, ""current"": ""18°C"", ""predicted"": ""17°C"", ""tEstimated"": ""17.15""}",2026-03-24 16:23:51.033732+00
1818,ruth-metar-eglc-20260324-162417537,wendy,EGLC,info,signal,"METAR: 12°C, max=12°C, bucket=12°C","{""prevBucket"": ""12°C""}",2026-03-24 16:24:17.550042+00
